,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.00856764316558838,0.00023965835571289064,0.0007153034210205078,0.1468625
1,small,ssd,low,bloscpack,3,0.008082318305969238,0.0002363443374633789,0.0005247354507446289,0.0358625
2,small,ssd,low,bloscpack,7,0.00786430835723877,0.00023560523986816407,0.0005340337753295899,0.0358625
3,small,ssd,low,bloscpack,9,0.008179402351379395,0.00023853778839111328,0.0005584239959716796,0.0358625
4,small,ssd,low,npz,1,0.014763569831848145,0.0007542848587036132,0.0013748645782470704,0.185425
5,small,ssd,low,npy,0,0.007610702514648437,0.0003634214401245117,0.0013952016830444335,1.001
6,small,ssd,low,zfile,1,0.009253883361816406,0.00039870738983154296,0.0008049964904785156,0.1855125
7,small,ssd,low,zfile,3,0.013567352294921875,0.0003800392150878906,0.0006760835647583007,0.1854875
8,small,ssd,low,zfile,7,0.020054268836975097,0.0003813028335571289,0.0009057044982910157,0.1859
9,small,ssd,medium,bloscpack,1,0.00864100456237793,0.0002636432647705078,0.0010793209075927734,0.8865375
10,small,ssd,medium,bloscpack,3,0.008675003051757812,0.00024902820587158203,0.0009478569030761719,0.6570375
11,small,ssd,medium,bloscpack,7,0.008434009552001954,0.0003601551055908203,0.0010377168655395508,0.4739125
12,small,ssd,medium,bloscpack,9,0.009055304527282714,0.00036623477935791013,0.0010349750518798828,0.4617375
13,small,ssd,medium,npz,1,0.009719467163085938,0.0007740259170532227,0.0016875267028808594,0.276725
14,small,ssd,medium,npy,0,0.007927370071411134,0.00035941600799560547,0.001415252685546875,1.001
15,small,ssd,medium,zfile,1,0.009424042701721192,0.0004514932632446289,0.000809788703918457,0.34655
16,small,ssd,medium,zfile,3,0.010540151596069336,0.0004411935806274414,0.0010771512985229491,0.336125
17,small,ssd,medium,zfile,7,0.009460973739624023,0.00039272308349609376,0.0009731054306030273,0.2756
18,small,ssd,high,bloscpack,1,0.00895538330078125,0.0001728534698486328,0.0010583877563476562,1.0098
19,small,ssd,high,bloscpack,3,0.008830022811889649,0.00016143321990966797,0.0009205341339111328,1.0098
20,small,ssd,high,bloscpack,7,0.009329462051391601,0.0002935886383056641,0.0011346817016601562,0.9753375
21,small,ssd,high,bloscpack,9,0.009233832359313965,0.00029351711273193357,0.0010129690170288086,0.975575
22,small,ssd,high,npz,1,0.01225736141204834,0.0009920835494995118,0.0023944854736328127,0.9630625
23,small,ssd,high,npy,0,0.00804288387298584,0.0003600358963012695,0.0013031005859375,1.001
24,small,ssd,high,zfile,1,0.015052056312561036,0.0006331682205200195,0.0015392065048217773,0.966825
25,small,ssd,high,zfile,3,0.011446022987365722,0.0006362199783325195,0.0015142202377319337,0.966925
26,small,ssd,high,zfile,7,0.011848855018615722,0.0006237983703613281,0.0014699459075927734,0.963875
27,small,sd,low,bloscpack,1,0.027907514572143556,0.00023968219757080077,0.0008291959762573242,0.1468625
28,small,sd,low,bloscpack,3,0.028606271743774413,0.00023663043975830078,0.0008574724197387695,0.0358625
29,small,sd,low,bloscpack,7,0.02784273624420166,0.00023999214172363282,0.0010185003280639648,0.0358625
30,small,sd,low,bloscpack,9,0.028225636482238768,0.0002373218536376953,0.0009124040603637696,0.0358625
31,small,sd,low,npz,1,0.035787558555603026,0.000752711296081543,0.0013031244277954101,0.185425
32,small,sd,low,npy,0,0.16616291999816896,0.0003596067428588867,0.004211807250976562,1.001
33,small,sd,low,zfile,1,0.031323027610778806,0.00038280487060546873,0.001563692092895508,0.1855125
34,small,sd,low,zfile,3,0.033760905265808105,0.00038020610809326173,0.0011761188507080078,0.1854875
35,small,sd,low,zfile,7,0.040853333473205564,0.0003839731216430664,0.0006564617156982422,0.1859
36,small,sd,medium,bloscpack,1,0.03201227188110352,0.00024220943450927734,0.0037090301513671873,0.8865
37,small,sd,medium,bloscpack,3,0.030551600456237792,0.0002473592758178711,0.0031788825988769533,0.657225
38,small,sd,medium,bloscpack,7,0.031493425369262695,0.00035557746887207033,0.000754690170288086,0.4719875
39,small,sd,medium,bloscpack,9,0.029895687103271486,0.0003626585006713867,0.001960563659667969,0.4604
40,small,sd,medium,npz,1,0.031560540199279785,0.0007716655731201172,0.003017020225524902,0.2747625
41,small,sd,medium,npy,0,0.03234896659851074,0.0003601789474487305,0.004853391647338867,1.001
42,small,sd,medium,zfile,1,0.03211989402770996,0.0004492044448852539,0.0007313013076782227,0.3475125
43,small,sd,medium,zfile,3,0.032254695892333984,0.00044066905975341796,0.0015279293060302735,0.33375
44,small,sd,medium,zfile,7,0.03149383068084717,0.0003951311111450195,0.0007298946380615235,0.27315
45,small,sd,high,bloscpack,1,0.032450389862060544,0.00016257762908935546,0.0038529157638549803,1.0098
46,small,sd,high,bloscpack,3,0.0332564115524292,0.0001625537872314453,0.003644895553588867,1.0098
47,small,sd,high,bloscpack,7,0.033292961120605466,0.000297236442565918,0.0031115055084228516,0.9761
48,small,sd,high,bloscpack,9,0.03326878547668457,0.0002930164337158203,0.004568314552307129,0.976375
49,small,sd,high,npz,1,0.03607246875762939,0.000995326042175293,0.005238199234008789,0.9631375
50,small,sd,high,npy,0,0.03221549987792969,0.00036051273345947263,0.004652070999145508,1.001
51,small,sd,high,zfile,1,0.04019427299499512,0.0006360769271850586,0.004877352714538574,0.9670375
52,small,sd,high,zfile,3,0.03872396945953369,0.000635981559753418,0.005378460884094239,0.9670125
53,small,sd,high,zfile,7,0.04004495143890381,0.0006241321563720704,0.004471325874328613,0.9640625
54,mid,ssd,low,bloscpack,1,0.06913145383199056,0.03116758664449056,0.046687682469685875,0.12682075
55,mid,ssd,low,bloscpack,3,0.06637930870056152,0.03028702735900879,0.04412301381429037,0.1140974125
56,mid,ssd,low,bloscpack,7,0.03511961301167806,0.031167030334472656,0.033083041508992515,0.0118825625
57,mid,ssd,low,bloscpack,9,0.03475340207417806,0.03152767817179362,0.03297066688537598,0.0083735375
58,mid,ssd,low,npz,1,5.596322933832805,0.34324296315511066,0.37910302480061847,0.1495014125
59,mid,ssd,low,npy,0,0.3362480004628499,0.03203566869099935,0.21158599853515625,1.000001
60,mid,ssd,low,zfile,1,0.9052090644836426,0.2651951313018799,0.2969398498535156,0.1490548
61,mid,ssd,low,zfile,3,1.3749339580535889,0.26543188095092773,0.2946310043334961,0.1490792
62,mid,ssd,low,zfile,7,8.890954971313477,0.2650330066680908,0.3011350631713867,0.1494205
63,mid,ssd,medium,bloscpack,1,0.32483895619710285,0.041145006815592446,0.219497283299764,0.8796515125
64,mid,ssd,medium,bloscpack,3,0.3380862871805827,0.04118839899698893,0.2116832733154297,0.8795044625
65,mid,ssd,medium,bloscpack,7,0.2983383337656657,0.10605565706888835,0.19289867083231607,0.433471375
66,mid,ssd,medium,bloscpack,9,0.3072243531545003,0.11399388313293457,0.1895613670349121,0.3886689625
67,mid,ssd,medium,npz,1,1.2356956799825032,0.3342990080515544,0.35711272557576496,0.1498476625
68,mid,ssd,medium,npy,0,0.32173927625020343,0.032217979431152344,0.21205902099609375,1.000001
69,mid,ssd,medium,zfile,1,0.9537878036499023,0.313823938369751,0.36620306968688965,0.26823125
70,mid,ssd,medium,zfile,3,0.979619026184082,0.3114340305328369,0.3651092052459717,0.2636982375
71,mid,ssd,medium,zfile,7,1.1467421054840088,0.24974393844604492,0.27455806732177734,0.149904325
72,mid,ssd,high,bloscpack,1,0.3908860683441162,0.03837903340657552,0.24596500396728516,1.000025375
73,mid,ssd,high,bloscpack,3,0.3915588855743408,0.03832928339640299,0.24942668279012045,1.000025375
74,mid,ssd,high,bloscpack,7,0.4881596565246582,0.06874839464823405,0.2715920607248942,0.96586375
75,mid,ssd,high,bloscpack,9,0.5562926928202311,0.07248894373575847,0.2725056012471517,0.9657174875
76,mid,ssd,high,npz,1,3.8711612224578857,0.6187406380971273,0.794204314549764,0.960674225
77,mid,ssd,high,npy,0,0.3487137158711751,0.031634012858072914,0.2091852823893229,1.000001
78,mid,ssd,high,zfile,1,3.4597349166870117,0.5527639389038086,0.7235751152038574,0.96431545
79,mid,ssd,high,zfile,3,3.574732780456543,0.5586280822753906,0.7275631427764893,0.96423145
80,mid,ssd,high,zfile,7,3.7120399475097656,0.5452940464019775,0.7276060581207275,0.9606679375
81,mid,sd,low,bloscpack,1,0.7249533335367838,0.03127932548522949,0.5229276816050211,0.12682075
82,mid,sd,low,bloscpack,3,0.683031956354777,0.03081035614013672,0.47129368782043457,0.1140974125
83,mid,sd,low,bloscpack,7,0.11508266131083171,0.03167041142781576,0.05497026443481445,0.0118825625
84,mid,sd,low,bloscpack,9,0.09675367673238118,0.03154397010803223,0.04238168398539225,0.0083735375
85,mid,sd,low,npz,1,6.374231576919556,0.35061462720235187,0.9557435512542725,0.1495014125
86,mid,sd,low,npy,0,5.316015005111694,0.03196366628011068,4.088003635406494,1.000001
87,mid,sd,low,zfile,1,2.027717113494873,0.2715110778808594,0.8811759948730469,0.1490548
88,mid,sd,low,zfile,3,2.153290033340454,0.27005600929260254,0.8812110424041748,0.1490792
89,mid,sd,low,zfile,7,9.646618127822876,0.2684621810913086,0.8842990398406982,0.1494205
90,mid,sd,medium,bloscpack,1,4.727259397506714,0.041652679443359375,3.6027426719665527,0.879651475
91,mid,sd,medium,bloscpack,3,4.726781050364177,0.04154427846272787,3.6006566683451333,0.87949985
92,mid,sd,medium,bloscpack,7,2.4799200693766275,0.10607401529947917,1.7782597541809082,0.4335229
93,mid,sd,medium,bloscpack,9,2.2698213259379068,0.11522396405537923,1.5935003757476807,0.3885401125
94,mid,sd,medium,npz,1,2.0396310488382974,0.3294699986775716,0.9413660367329916,0.1498708
95,mid,sd,medium,npy,0,5.315881331761678,0.03142301241556803,4.092785676320394,1.000001
96,mid,sd,medium,zfile,1,2.3120179176330566,0.30716490745544434,1.4078638553619385,0.268193025
97,mid,sd,medium,zfile,3,2.503232002258301,0.3113539218902588,1.3823609352111816,0.2636357125
98,mid,sd,medium,zfile,7,1.9080479145050049,0.24335503578186035,0.8644371032714844,0.1498848625
99,mid,sd,high,bloscpack,1,5.377029101053874,0.03791968027750651,4.091779073079427,1.000025375
100,mid,sd,high,bloscpack,3,5.384308973948161,0.03785562515258789,4.092648347218831,1.000025375
101,mid,sd,high,bloscpack,7,5.365749677022298,0.06988898913065593,3.952322324117025,0.9658444375
102,mid,sd,high,bloscpack,9,5.355082591374715,0.07271965344746907,3.9535876909891763,0.9656492375
103,mid,sd,high,npz,1,8.648361365000406,0.6287609736124674,4.533694346745809,0.960672325
104,mid,sd,high,npy,0,5.316074927647908,0.03157933553059896,4.086116313934326,1.000001
105,mid,sd,high,zfile,1,8.472044944763184,0.5569431781768799,4.468522787094116,0.9643121875
106,mid,sd,high,zfile,3,8.579463958740234,0.5588581562042236,4.47355318069458,0.964243225
107,mid,sd,high,zfile,7,8.496073007583618,0.5498800277709961,4.451596975326538,0.9606761625
108,large,ssd,low,bloscpack,1,0.8229401111602783,0.48496198654174805,0.6139202117919922,0.060875708125
109,large,ssd,low,bloscpack,3,0.6012980937957764,0.48789215087890625,0.5641279220581055,0.042616500625
110,large,ssd,low,bloscpack,7,0.4444570541381836,0.489534854888916,0.5132930278778076,0.012993349375
111,large,ssd,low,bloscpack,9,0.44358205795288086,0.4977591037750244,0.5113580226898193,0.009234625
112,large,ssd,low,npz,1,134.32999515533447,6.81256103515625,7.596530914306641,0.159559411875
113,large,ssd,low,npy,0,7.2821760177612305,0.5453841686248779,4.231765985488892,1.00000005
114,large,ssd,low,zfile,1,18.508329153060913,5.182034015655518,5.65944504737854,0.159273688125
115,large,ssd,low,zfile,3,31.10926389694214,5.104060173034668,5.7585930824279785,0.15926239375
