,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.02717545032501221,0.00023965835571289064,0.0005904436111450195,0.1468625
1,small,ssd,low,bloscpack,3,0.007306456565856934,0.00023956298828125,0.000530409812927246,0.0358625
2,small,ssd,low,bloscpack,7,0.007277965545654297,0.00025506019592285155,0.000628352165222168,0.0358625
3,small,ssd,low,bloscpack,9,0.007506227493286133,0.00024065971374511718,0.000528407096862793,0.0358625
4,small,ssd,low,npz,1,0.01439681053161621,0.0007755279541015625,0.0014580249786376952,0.185425
5,small,ssd,low,npy,0,0.007289719581604004,0.00036427974700927737,0.0012768745422363282,1.001
6,small,ssd,low,zfile,1,0.008078289031982423,0.0003825187683105469,0.0008505821228027344,0.1855125
7,small,ssd,low,zfile,3,0.010462021827697754,0.0003811836242675781,0.0006765365600585937,0.1854875
8,small,ssd,low,zfile,7,0.02151467800140381,0.0003820180892944336,0.0006694793701171875,0.1859
9,small,ssd,medium,bloscpack,1,0.008076167106628418,0.0002460479736328125,0.0009272098541259766,0.8868
10,small,ssd,medium,bloscpack,3,0.009754490852355958,0.0002451181411743164,0.0008694410324096679,0.6572375
11,small,ssd,medium,bloscpack,7,0.008207392692565919,0.0003601551055908203,0.0007921218872070313,0.470725
12,small,ssd,medium,bloscpack,9,0.008039307594299317,0.0003597497940063477,0.0009606122970581054,0.457325
13,small,ssd,medium,npz,1,0.009384727478027344,0.0007990360260009766,0.0017330408096313476,0.2762
14,small,ssd,medium,npy,0,0.007327127456665039,0.00036158561706542967,0.0011658191680908204,1.001
15,small,ssd,medium,zfile,1,0.008666491508483887,0.0004542350769042969,0.0010419130325317384,0.3471125
16,small,ssd,medium,zfile,3,0.009646844863891602,0.0004451513290405273,0.001153111457824707,0.33765
17,small,ssd,medium,zfile,7,0.01117115020751953,0.0003969907760620117,0.0010764360427856444,0.2758
18,small,ssd,high,bloscpack,1,0.008250212669372559,0.0001650571823120117,0.0009063243865966797,1.0098
19,small,ssd,high,bloscpack,3,0.008540201187133788,0.00016536712646484376,0.000986480712890625,1.0098
20,small,ssd,high,bloscpack,7,0.009232831001281739,0.00030083656311035155,0.0010532855987548829,0.9763875
21,small,ssd,high,bloscpack,9,0.009373712539672851,0.0002965688705444336,0.0009680986404418945,0.976075
22,small,ssd,high,npz,1,0.01179673671722412,0.001028728485107422,0.0021645784378051757,0.9634625
23,small,ssd,high,npy,0,0.007862520217895509,0.0003647804260253906,0.0013696908950805663,1.001
24,small,ssd,high,zfile,1,0.012834930419921875,0.0006420135498046875,0.0015034675598144531,0.9664375
25,small,ssd,high,zfile,3,0.012848758697509765,0.0006367444992065429,0.0015407085418701171,0.96695
26,small,ssd,high,zfile,7,0.01207129955291748,0.0006315469741821289,0.0014518976211547851,0.9635375
27,small,sd,low,bloscpack,1,0.028133487701416014,0.00023851394653320312,0.0005608558654785156,0.1468625
28,small,sd,low,bloscpack,3,0.028148770332336426,0.0002393007278442383,0.0007869243621826172,0.0358625
29,small,sd,low,bloscpack,7,0.028262901306152343,0.0002398252487182617,0.00054779052734375,0.0358625
30,small,sd,low,bloscpack,9,0.0281325101852417,0.00023775100708007814,0.0006345272064208985,0.0358625
31,small,sd,low,npz,1,0.03621506690979004,0.0007738590240478516,0.0013218164443969727,0.185425
32,small,sd,low,npy,0,0.03205783367156982,0.0003646135330200195,0.0041831016540527345,1.001
33,small,sd,low,zfile,1,0.035023832321166994,0.0003877878189086914,0.001746988296508789,0.1855125
34,small,sd,low,zfile,3,0.036064767837524415,0.000384831428527832,0.0006766080856323242,0.1854875
35,small,sd,low,zfile,7,0.04257845878601074,0.0003813028335571289,0.0006558179855346679,0.1859
36,small,sd,medium,bloscpack,1,0.03960113525390625,0.00025022029876708984,0.0038744926452636717,0.8864
37,small,sd,medium,bloscpack,3,0.030714917182922363,0.00024423599243164065,0.0005777359008789062,0.6568875
38,small,sd,medium,bloscpack,7,0.030892229080200194,0.0003594875335693359,0.0025072097778320312,0.4765625
39,small,sd,medium,bloscpack,9,0.029875564575195312,0.0003579854965209961,0.002391195297241211,0.4567125
40,small,sd,medium,npz,1,0.03166191577911377,0.0008005619049072266,0.0013576507568359374,0.2758375
41,small,sd,medium,npy,0,0.10925731658935547,0.00036132335662841797,0.0007926225662231445,1.001
42,small,sd,medium,zfile,1,0.032568502426147464,0.00044846534729003906,0.0007428646087646485,0.34375
43,small,sd,medium,zfile,3,0.035955619812011716,0.00044565200805664064,0.0024468183517456056,0.3368625
44,small,sd,medium,zfile,7,0.03567571640014648,0.00039229393005371096,0.00210874080657959,0.275575
45,small,sd,high,bloscpack,1,0.03317768573760986,0.00016520023345947265,0.0034375667572021486,1.0098
46,small,sd,high,bloscpack,3,0.03331294059753418,0.00016584396362304688,0.00468287467956543,1.0098
47,small,sd,high,bloscpack,7,0.03363394737243652,0.0002942085266113281,0.00465850830078125,0.974925
48,small,sd,high,bloscpack,9,0.03235781192779541,0.00029819011688232423,0.003874969482421875,0.975275
49,small,sd,high,npz,1,0.036347579956054685,0.0010215044021606445,0.0055861234664916996,0.9634625
50,small,sd,high,npy,0,0.03195185661315918,0.00036280155181884767,0.004655241966247559,1.001
51,small,sd,high,zfile,1,0.03839530944824219,0.0006440401077270508,0.005116391181945801,0.9668125
52,small,sd,high,zfile,3,0.03608574867248535,0.0006373643875122071,0.005551433563232422,0.967275
53,small,sd,high,zfile,7,0.03896961212158203,0.0006296873092651367,0.00603640079498291,0.9637
54,mid,ssd,low,bloscpack,1,0.07604694366455078,0.029131968816121418,0.04584129651387533,0.12682075
55,mid,ssd,low,bloscpack,3,0.06531802813212077,0.029305696487426758,0.043873230616251625,0.1140974125
56,mid,ssd,low,bloscpack,7,0.0379942258199056,0.03053871790568034,0.031819423039754234,0.0118825625
57,mid,ssd,low,bloscpack,9,0.03452603022257487,0.03154428799947103,0.03180193901062012,0.0083735375
58,mid,ssd,low,npz,1,5.595633665720622,0.3536682923634847,0.3736012776692708,0.1495014125
59,mid,ssd,low,npy,0,0.35367433230082196,0.03229959805806478,0.19990460077921549,1.000001
60,mid,ssd,low,zfile,1,0.9015529155731201,0.26496219635009766,0.29631900787353516,0.1490548
61,mid,ssd,low,zfile,3,1.376047134399414,0.2642979621887207,0.29499006271362305,0.1490792
