,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.008273792266845704,0.00024056434631347656,0.0008686304092407227,0.1468625
1,small,ssd,low,bloscpack,3,0.007985210418701172,0.0002393960952758789,0.0008729219436645508,0.0358625
2,small,ssd,low,bloscpack,7,0.007868814468383788,0.0002382040023803711,0.0007877588272094726,0.0358625
3,small,ssd,low,bloscpack,9,0.007915997505187988,0.0002391815185546875,0.0007655620574951172,0.0358625
4,small,ssd,low,npz,1,0.014821720123291016,0.000752115249633789,0.0016759395599365234,0.185425
5,small,ssd,low,npy,0,0.007586526870727539,0.00035848617553710935,0.00158538818359375,1.001
6,small,ssd,low,zfile,1,0.012434601783752441,0.00038051605224609375,0.001193094253540039,0.1855125
7,small,ssd,low,zfile,3,0.009662580490112305,0.0003798484802246094,0.001290607452392578,0.1854875
8,small,ssd,low,zfile,7,0.01850898265838623,0.0003832578659057617,0.0012992620468139648,0.1859
9,small,ssd,medium,bloscpack,1,0.008483481407165528,0.00024521350860595703,0.0011308670043945312,0.8865
10,small,ssd,medium,bloscpack,3,0.008309149742126464,0.00024585723876953126,0.0010692119598388673,0.657175
11,small,ssd,medium,bloscpack,7,0.00865190029144287,0.000360870361328125,0.0010873794555664063,0.4765375
12,small,ssd,medium,bloscpack,9,0.00865483283996582,0.0003628253936767578,0.0010845422744750976,0.4613875
13,small,ssd,medium,npz,1,0.009353399276733398,0.0007738590240478516,0.0022213935852050783,0.27625
14,small,ssd,medium,npy,0,0.007666397094726563,0.00035748481750488283,0.0015816450119018554,1.001
15,small,ssd,medium,zfile,1,0.0091322660446167,0.00044651031494140624,0.0013062715530395507,0.3457875
16,small,ssd,medium,zfile,3,0.010848164558410645,0.00044419765472412107,0.0011734724044799804,0.33985
17,small,ssd,medium,zfile,7,0.012750196456909179,0.00039327144622802734,0.0014653205871582031,0.274
18,small,ssd,high,bloscpack,1,0.008713793754577637,0.00016427040100097656,0.0011926651000976562,1.0098
19,small,ssd,high,bloscpack,3,0.008690834045410156,0.0001641988754272461,0.0012070894241333007,1.0098
20,small,ssd,high,bloscpack,7,0.009084200859069825,0.0002921342849731445,0.0013411283493041993,0.9762
21,small,ssd,high,bloscpack,9,0.009209060668945312,0.0002921342849731445,0.0012529850006103515,0.97635
22,small,ssd,high,npz,1,0.011060714721679688,0.0009975671768188477,0.0025978326797485352,0.9629
23,small,ssd,high,npy,0,0.007912111282348634,0.0003549337387084961,0.001281881332397461,1.001
24,small,ssd,high,zfile,1,0.012067103385925293,0.0006351947784423828,0.001979160308837891,0.967125
25,small,ssd,high,zfile,3,0.01216130256652832,0.0006339788436889648,0.0019595146179199217,0.967125
26,small,ssd,high,zfile,7,0.011750316619873047,0.000625777244567871,0.0015591621398925782,0.9637375
27,small,sd,low,bloscpack,1,0.022738218307495117,0.00024089813232421874,0.0012202501296997071,0.1468625
28,small,sd,low,bloscpack,3,0.02264370918273926,0.0002396106719970703,0.0013995647430419921,0.0358625
29,small,sd,low,bloscpack,7,0.022951960563659668,0.000238800048828125,0.0006064653396606445,0.0358625
30,small,sd,low,bloscpack,9,0.022654271125793456,0.00023925304412841797,0.0013300657272338867,0.0358625
31,small,sd,low,npz,1,0.03314018249511719,0.0007537603378295898,0.002163219451904297,0.185425
32,small,sd,low,npy,0,0.025788331031799318,0.0003557682037353516,0.005301070213317871,1.001
33,small,sd,low,zfile,1,0.025209498405456544,0.0003829240798950195,0.0027356386184692384,0.1855125
34,small,sd,low,zfile,3,0.026785063743591308,0.0003794431686401367,0.002397894859313965,0.1854875
35,small,sd,low,zfile,7,0.04039874076843262,0.0003814697265625,0.0022608280181884766,0.1859
36,small,sd,medium,bloscpack,1,0.026785755157470705,0.0002446889877319336,0.004531574249267578,0.88665
37,small,sd,medium,bloscpack,3,0.02501788139343262,0.00024547576904296873,0.0030973196029663087,0.657075
38,small,sd,medium,bloscpack,7,0.024677538871765138,0.00035777091979980467,0.002426409721374512,0.4719125
39,small,sd,medium,bloscpack,9,0.024416899681091307,0.0003597736358642578,0.0012448787689208984,0.4586875
40,small,sd,medium,npz,1,0.02491931915283203,0.0007803440093994141,0.0037050962448120115,0.275325
41,small,sd,medium,npy,0,0.026091790199279784,0.0003590106964111328,0.005259418487548828,1.001
42,small,sd,medium,zfile,1,0.025873708724975585,0.0004479169845581055,0.0029182672500610352,0.3473125
43,small,sd,medium,zfile,3,0.02747647762298584,0.00044188499450683596,0.0032575368881225587,0.3356125
44,small,sd,medium,zfile,7,0.026076602935791015,0.0003952741622924805,0.0033550024032592773,0.274475
45,small,sd,high,bloscpack,1,0.02687411308288574,0.000164794921875,0.005124092102050781,1.0098
46,small,sd,high,bloscpack,3,0.026791715621948244,0.00016489028930664063,0.00392920970916748,1.0098
47,small,sd,high,bloscpack,7,0.02711062431335449,0.00029408931732177734,0.004706072807312012,0.9759125
48,small,sd,high,bloscpack,9,0.02763059139251709,0.0002938985824584961,0.005420494079589844,0.976375
49,small,sd,high,npz,1,0.03089468479156494,0.00099637508392334,0.006415343284606934,0.9630125
50,small,sd,high,npy,0,0.025948238372802735,0.00035691261291503906,0.0032091617584228517,1.001
51,small,sd,high,zfile,1,0.031594157218933105,0.0006351232528686524,0.00608220100402832,0.9670625
52,small,sd,high,zfile,3,0.03244178295135498,0.0006386280059814453,0.004552459716796875,0.9669375
53,small,sd,high,zfile,7,0.031598687171936035,0.0006264209747314453,0.005828690528869629,0.9634625
54,mid,ssd,low,bloscpack,1,0.06834778785705567,0.030150890350341797,0.045935440063476565,0.12682075
55,mid,ssd,low,bloscpack,3,0.06606416702270508,0.03015480041503906,0.043905210494995114,0.1140974125
56,mid,ssd,low,bloscpack,7,0.03425540924072266,0.03042573928833008,0.032443809509277347,0.0118825625
57,mid,ssd,low,bloscpack,9,0.03453540802001953,0.030977249145507812,0.03232297897338867,0.0083735375
58,mid,ssd,low,npz,1,5.59794135093689,0.34010000228881837,0.3684755802154541,0.1495014125
