,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.03236227035522461,0.0002394437789916992,0.0008769035339355469,0.1468625
1,small,ssd,low,bloscpack,3,0.007171797752380371,0.00023777484893798827,0.0007374286651611328,0.0358625
2,small,ssd,low,bloscpack,7,0.0070734739303588865,0.00023808479309082032,0.0008557796478271485,0.0358625
3,small,ssd,low,bloscpack,9,0.007318687438964844,0.00023882389068603517,0.0008782148361206055,0.0358625
4,small,ssd,low,npz,1,0.014220094680786133,0.0007503032684326172,0.001654982566833496,0.185425
5,small,ssd,low,npy,0,0.007179069519042969,0.0003593206405639648,0.0015799522399902344,1.001
6,small,ssd,low,zfile,1,0.011414813995361327,0.0003823518753051758,0.0012140274047851562,0.1855125
7,small,ssd,low,zfile,3,0.011194920539855957,0.00037932395935058594,0.001024150848388672,0.1854875
8,small,ssd,low,zfile,7,0.020167326927185057,0.00038025379180908205,0.00130767822265625,0.1859
9,small,ssd,medium,bloscpack,1,0.008150100708007812,0.0002453088760375977,0.0012475013732910155,0.8862
10,small,ssd,medium,bloscpack,3,0.0077732324600219725,0.0002458810806274414,0.000933384895324707,0.657175
11,small,ssd,medium,bloscpack,7,0.0082169771194458,0.00035748481750488283,0.0010403156280517577,0.4745
12,small,ssd,medium,bloscpack,9,0.007925581932067872,0.0003613471984863281,0.001100468635559082,0.46045
13,small,ssd,medium,npz,1,0.009015345573425293,0.0007763147354125976,0.0022457361221313475,0.276175
14,small,ssd,medium,npy,0,0.007183504104614258,0.00035614967346191405,0.0015663862228393554,1.001
15,small,ssd,medium,zfile,1,0.009104728698730469,0.00044581890106201174,0.0015775203704833985,0.3477
16,small,ssd,medium,zfile,3,0.009869790077209473,0.00044019222259521483,0.001634693145751953,0.3362
17,small,ssd,medium,zfile,7,0.011039161682128906,0.0003917455673217773,0.0014904499053955077,0.2741
18,small,ssd,high,bloscpack,1,0.00824587345123291,0.00016379356384277344,0.0010293483734130859,1.0098
19,small,ssd,high,bloscpack,3,0.008410763740539551,0.0001641988754272461,0.0010721921920776368,1.0098
20,small,ssd,high,bloscpack,7,0.008706426620483399,0.0002924203872680664,0.0012638092041015625,0.9750875
21,small,ssd,high,bloscpack,9,0.00869901180267334,0.0002927303314208984,0.0013437986373901368,0.9761
22,small,ssd,high,npz,1,0.011043381690979005,0.0009932756423950196,0.0025513172149658203,0.9629125
23,small,ssd,high,npy,0,0.00731508731842041,0.0003575325012207031,0.0015854597091674804,1.001
24,small,ssd,high,zfile,1,0.011405491828918457,0.0006347894668579102,0.001839613914489746,0.966875
25,small,ssd,high,zfile,3,0.012310171127319336,0.0006345033645629883,0.001605653762817383,0.9667625
26,small,ssd,high,zfile,7,0.012552022933959961,0.000626373291015625,0.0018362045288085938,0.9638375
27,small,sd,low,bloscpack,1,0.022813892364501952,0.0002407073974609375,0.001685500144958496,0.1468625
28,small,sd,low,bloscpack,3,0.02299034595489502,0.00023872852325439452,0.0012916326522827148,0.0358625
29,small,sd,low,bloscpack,7,0.02252206802368164,0.00024077892303466796,0.0012455224990844727,0.0358625
30,small,sd,low,bloscpack,9,0.021947598457336424,0.00023915767669677735,0.0012830018997192383,0.0358625
