,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.008183479309082031,0.0002457618713378906,0.0005828380584716797,0.1468625
1,small,ssd,low,bloscpack,3,0.007572054862976074,0.00023827552795410156,0.000516200065612793,0.0358625
2,small,ssd,low,bloscpack,7,0.007440972328186035,0.0002526998519897461,0.0005225896835327149,0.0358625
3,small,ssd,low,bloscpack,9,0.008181905746459961,0.0002453327178955078,0.0005164146423339844,0.0358625
4,small,ssd,low,npz,1,0.014818859100341798,0.000748443603515625,0.0012707948684692384,0.185425
5,small,ssd,low,npy,0,0.007306408882141113,0.0003591775894165039,0.0013020038604736328,1.001
6,small,ssd,low,zfile,1,0.01310436725616455,0.0003867149353027344,0.0006643295288085938,0.1855125
7,small,ssd,low,zfile,3,0.01361081600189209,0.0003876209259033203,0.0007947206497192383,0.1854875
8,small,ssd,low,zfile,7,0.019975972175598145,0.0003861904144287109,0.000662994384765625,0.1859
9,small,ssd,medium,bloscpack,1,0.008377814292907714,0.00024356842041015626,0.0009720563888549804,0.8864625
10,small,ssd,medium,bloscpack,3,0.008347702026367188,0.0002442836761474609,0.0007414817810058594,0.6574125
11,small,ssd,medium,bloscpack,7,0.008099055290222168,0.0003555059432983398,0.0008609771728515625,0.4752
12,small,ssd,medium,bloscpack,9,0.008337044715881347,0.0003562211990356445,0.0008162260055541992,0.4598875
13,small,ssd,medium,npz,1,0.009589147567749024,0.0007770299911499023,0.001780247688293457,0.275875
14,small,ssd,medium,npy,0,0.007437467575073242,0.0003614664077758789,0.0012275218963623048,1.001
15,small,ssd,medium,zfile,1,0.008709192276000977,0.00045461654663085936,0.0011472225189208985,0.3495375
16,small,ssd,medium,zfile,3,0.009050369262695312,0.00044629573822021487,0.0011769771575927735,0.3374
17,small,ssd,medium,zfile,7,0.009253621101379395,0.000411677360534668,0.0006631612777709961,0.2738875
18,small,ssd,high,bloscpack,1,0.008533072471618653,0.0001636028289794922,0.0009091854095458985,1.0098
19,small,ssd,high,bloscpack,3,0.008395147323608399,0.0001623392105102539,0.0008303642272949219,1.0098
20,small,ssd,high,bloscpack,7,0.00861344337463379,0.0002960681915283203,0.0010138750076293945,0.9756
21,small,ssd,high,bloscpack,9,0.008572983741760253,0.0002956867218017578,0.0010060310363769532,0.975875
22,small,ssd,high,npz,1,0.011196780204772949,0.0009937524795532227,0.0020436763763427733,0.9630125
23,small,ssd,high,npy,0,0.007417488098144531,0.00035731792449951173,0.0013007640838623047,1.001
24,small,ssd,high,zfile,1,0.011103081703186034,0.0006391286849975586,0.0016017913818359374,0.9671
25,small,ssd,high,zfile,3,0.014245033264160156,0.0006403446197509766,0.0016530990600585938,0.9673125
26,small,ssd,high,zfile,7,0.013953208923339844,0.0006315946578979492,0.0015336275100708008,0.9634
27,small,sd,low,bloscpack,1,0.028945136070251464,0.00024068355560302734,0.0005504369735717773,0.1468625
28,small,sd,low,bloscpack,3,0.029051613807678223,0.0002390146255493164,0.000527501106262207,0.0358625
29,small,sd,low,bloscpack,7,0.028534126281738282,0.00023851394653320312,0.0007742881774902344,0.0358625
30,small,sd,low,bloscpack,9,0.028669095039367674,0.0002518177032470703,0.0005328655242919922,0.0358625
31,small,sd,low,npz,1,0.03587009906768799,0.0007498502731323242,0.0014412641525268556,0.185425
32,small,sd,low,npy,0,0.03203701972961426,0.000357818603515625,0.004982471466064453,1.001
33,small,sd,low,zfile,1,0.03240339756011963,0.0003905296325683594,0.0006558895111083984,0.1855125
34,small,sd,low,zfile,3,0.03213422298431397,0.00038640499114990235,0.001499509811401367,0.1854875
35,small,sd,low,zfile,7,0.044037890434265134,0.00038754940032958984,0.0006522178649902344,0.1859
36,small,sd,medium,bloscpack,1,0.11460082530975342,0.00024318695068359375,0.003968977928161621,0.8866875
37,small,sd,medium,bloscpack,3,0.031471633911132814,0.00024480819702148436,0.0025725364685058594,0.6571875
38,small,sd,medium,bloscpack,7,0.03173408508300781,0.00035552978515625,0.001934814453125,0.4723625
39,small,sd,medium,bloscpack,9,0.030243515968322754,0.00036067962646484374,0.002416706085205078,0.460525
40,small,sd,medium,npz,1,0.03176822662353516,0.0007765054702758789,0.0034513235092163085,0.2751625
41,small,sd,medium,npy,0,0.25170624256134033,0.0003601551055908203,0.005475258827209473,1.001
42,small,sd,medium,zfile,1,0.03416891098022461,0.0004519224166870117,0.0034668684005737306,0.3466625
43,small,sd,medium,zfile,3,0.034166717529296876,0.00045049190521240234,0.0010396957397460938,0.3384875
44,small,sd,medium,zfile,7,0.032522940635681154,0.00039958953857421875,0.0006797552108764648,0.2765
45,small,sd,high,bloscpack,1,0.032086181640625,0.00016412734985351562,0.003869438171386719,1.0098
46,small,sd,high,bloscpack,3,0.03239259719848633,0.0001629352569580078,0.003984141349792481,1.0098
47,small,sd,high,bloscpack,7,0.03312957286834717,0.0002938985824584961,0.00405881404876709,0.9752625
48,small,sd,high,bloscpack,9,0.03364465236663818,0.00029308795928955077,0.003761482238769531,0.9760625
49,small,sd,high,npz,1,0.036772298812866214,0.0009979486465454101,0.004904699325561523,0.9630375
50,small,sd,high,npy,0,0.03199501037597656,0.00035717487335205076,0.0042418956756591795,1.001
51,small,sd,high,zfile,1,0.03897700309753418,0.0006414651870727539,0.004574799537658691,0.96675
52,small,sd,high,zfile,3,0.040109896659851076,0.0006412029266357422,0.004483461380004883,0.966975
53,small,sd,high,zfile,7,0.038329339027404784,0.0006305932998657227,0.004787278175354004,0.964
54,mid,ssd,low,bloscpack,1,0.06707898775736491,0.029237906138102215,0.04521505037943522,0.12682075
55,mid,ssd,low,bloscpack,3,0.06625938415527344,0.029158751169840496,0.04314446449279785,0.1140974125
56,mid,ssd,low,bloscpack,7,0.03352125485738119,0.029360055923461914,0.030705054601033527,0.0118825625
57,mid,ssd,low,bloscpack,9,0.03401287396748861,0.02970743179321289,0.03114803632100423,0.0083735375
58,mid,ssd,low,npz,1,5.56630007425944,0.3386240005493164,0.3675662676493327,0.1495014125
59,mid,ssd,low,npy,0,0.348603089650472,0.02978038787841797,0.20931498209635416,1.000001
60,mid,ssd,low,zfile,1,0.8953280448913574,0.26226305961608887,0.29862308502197266,0.1490548
61,mid,ssd,low,zfile,3,1.3703341484069824,0.2666640281677246,0.2917342185974121,0.1490792
62,mid,ssd,low,zfile,7,8.841618061065674,0.26813483238220215,0.2945261001586914,0.1494205
