,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.012498593330383301,0.00023758411407470703,0.0008556365966796875,0.1468625
1,small,ssd,low,bloscpack,3,0.007899928092956542,0.00023534297943115235,0.0008387088775634766,0.0358625
2,small,ssd,low,bloscpack,7,0.007996821403503418,0.00023581981658935547,0.0008677244186401367,0.0358625
3,small,ssd,low,bloscpack,9,0.008064579963684083,0.0002351045608520508,0.0007488012313842773,0.0358625
4,small,ssd,low,npz,1,0.014560389518737792,0.0007525920867919922,0.0016454935073852539,0.185425
5,small,ssd,low,npy,0,0.007395100593566894,0.0003525733947753906,0.0012584924697875977,1.001
6,small,ssd,low,zfile,1,0.00892784595489502,0.0003791093826293945,0.001046609878540039,0.1855125
7,small,ssd,low,zfile,3,0.009800553321838379,0.0003777027130126953,0.0010330915451049806,0.1854875
8,small,ssd,low,zfile,7,0.02093358039855957,0.0003785133361816406,0.0012806892395019532,0.1859
9,small,ssd,medium,bloscpack,1,0.008577990531921386,0.00024158954620361327,0.0012007951736450195,0.88675
10,small,ssd,medium,bloscpack,3,0.008655214309692382,0.00024251937866210939,0.0009476184844970703,0.6572125
11,small,ssd,medium,bloscpack,7,0.008759093284606934,0.00035598278045654295,0.0010046958923339844,0.4771
12,small,ssd,medium,bloscpack,9,0.008966469764709472,0.00035736560821533205,0.0010367155075073243,0.4604625
13,small,ssd,medium,npz,1,0.009571266174316407,0.0007794857025146485,0.0021717309951782226,0.2748375
14,small,ssd,medium,npy,0,0.007848811149597169,0.0003546237945556641,0.0015340089797973634,1.001
15,small,ssd,medium,zfile,1,0.013308501243591309,0.00044548511505126953,0.0015647172927856444,0.346475
16,small,ssd,medium,zfile,3,0.012980365753173828,0.0004419565200805664,0.0015273809432983399,0.3389125
17,small,ssd,medium,zfile,7,0.012270617485046386,0.0003906726837158203,0.0015051841735839843,0.2768
18,small,ssd,high,bloscpack,1,0.008951497077941895,0.0001605987548828125,0.0011999368667602538,1.0098
19,small,ssd,high,bloscpack,3,0.009141898155212403,0.00016105175018310547,0.0011967182159423827,1.0098
20,small,ssd,high,bloscpack,7,0.00941452980041504,0.00028836727142333984,0.0012853384017944337,0.9753625
21,small,ssd,high,bloscpack,9,0.009133601188659668,0.0002891778945922852,0.001349639892578125,0.9774125
22,small,ssd,high,npz,1,0.012055373191833496,0.000989818572998047,0.002563285827636719,0.963025
23,small,ssd,high,npy,0,0.007673311233520508,0.00035691261291503906,0.0015462636947631836,1.001
24,small,ssd,high,zfile,1,0.011780762672424316,0.0006335020065307617,0.0018594980239868164,0.9671875
25,small,ssd,high,zfile,3,0.014279341697692871,0.0006331920623779297,0.0018829345703125,0.9670625
26,small,ssd,high,zfile,7,0.011549854278564453,0.0006230354309082031,0.0018077611923217774,0.9642
27,small,sd,low,bloscpack,1,0.027901434898376466,0.00023818016052246094,0.0016885995864868164,0.1468625
28,small,sd,low,bloscpack,3,0.027772855758666993,0.0002362966537475586,0.0012165069580078124,0.0358625
29,small,sd,low,bloscpack,7,0.027826476097106933,0.0002374887466430664,0.0005243301391601562,0.0358625
30,small,sd,low,bloscpack,9,0.028181743621826173,0.00023651123046875,0.0010983705520629882,0.0358625
31,small,sd,low,npz,1,0.0359846830368042,0.0007493019104003907,0.001297736167907715,0.185425
32,small,sd,low,npy,0,0.031786227226257326,0.00035669803619384763,0.004996037483215332,1.001
33,small,sd,low,zfile,1,0.03223903179168701,0.0003804683685302734,0.0022792816162109375,0.1855125
34,small,sd,low,zfile,3,0.03228635787963867,0.00037789344787597656,0.002570509910583496,0.1854875
35,small,sd,low,zfile,7,0.04264976978302002,0.00037915706634521483,0.0021349906921386717,0.1859
36,small,sd,medium,bloscpack,1,0.032237458229064944,0.00024249553680419922,0.0038109064102172852,0.8865
